iter	RMSE
0	0.4061219828
1	0.3923567628
2	0.3795524184
3	0.3672319715
4	0.3559767036
5	0.3452269042
6	0.3349723569
7	0.3257229753
8	0.3166773539
9	0.3082945848
10	0.3004329191
11	0.293216476
12	0.2863145482
13	0.2799824654
14	0.2740983199
15	0.2685905192
16	0.2634513852
17	0.2586275731
18	0.2542812793
19	0.2500227053
20	0.246082504
21	0.2423641302
22	0.2389042931
23	0.2354511666
24	0.2324943521
25	0.2297148375
26	0.2268005493
27	0.2243634902
28	0.2220228132
29	0.2196857976
30	0.2173811124
31	0.2153625826
32	0.2134805406
33	0.2117874837
34	0.2099398438
35	0.2084606335
36	0.2069275998
37	0.2056241802
38	0.2043722218
39	0.2029785788
40	0.2019263582
41	0.2009299027
42	0.1998449747
43	0.1986955576
44	0.1977670421
45	0.1969370689
46	0.1961874704
47	0.195479411
48	0.1945927428
49	0.1939842668
50	0.1933266492
51	0.1925466078
52	0.1920065747
53	0.1914913799
54	0.1909973064
55	0.1905499379
56	0.1899700831
57	0.1895432736
58	0.1891138751
59	0.1886543202
60	0.1881192325
61	0.1877524418
62	0.1873764082
63	0.1870245501
64	0.1865389249
65	0.1862160133
66	0.1859142588
67	0.1856186044
68	0.1852542883
69	0.1848292814
70	0.18446587
71	0.1842095798
72	0.1839550447
73	0.1837508115
74	0.1834787199
75	0.1832744165
76	0.1830663635
77	0.1828313924
78	0.1826535656
79	0.1824407212
80	0.1822291267
81	0.1820693489
82	0.181835424
83	0.1816493643
84	0.1813946293
85	0.1812479151
86	0.1810843961
87	0.1808136281
88	0.1806655715
89	0.1804964738
90	0.1803758767
91	0.1802179458
92	0.1800771518
93	0.1799052313
94	0.1797434186
95	0.1796149231
96	0.1794967672
97	0.1793794109
98	0.1792741851
99	0.1791421272
100	0.1789869835
101	0.1788568432
102	0.1786992699
103	0.178610218
104	0.1785065684
105	0.1783943634
106	0.1782444786
107	0.1780825407
108	0.1779424714
109	0.1778295528
110	0.1777190143
111	0.1776144617
112	0.1775090705
113	0.1774262171
114	0.177336789
115	0.1772425757
116	0.1770908638
117	0.1770038467
118	0.1769083998
119	0.1768154553
120	0.176646802
121	0.1765467585
122	0.1764202387
123	0.1763112534
124	0.1762028739
125	0.1760763692
126	0.1759776816
127	0.1758603479
128	0.1757665237
129	0.1756983838
130	0.1756162546
131	0.1755447661
132	0.1754808351
133	0.175406154
134	0.1753277847
135	0.1752502776
136	0.1751892831
137	0.1751301165
138	0.1750526082
139	0.1749704933
140	0.1748722939
141	0.1748065276
142	0.1747576438
143	0.1746929869
144	0.1746267993
145	0.1745575637
146	0.1744965259
147	0.1744416083
148	0.1743577791
149	0.1742865835
150	0.1742137881
151	0.174171058
152	0.1740646204
153	0.1739919637
154	0.17393956
155	0.1738841418
156	0.1738268727
157	0.1737762298
158	0.1736910261
159	0.1736045948
160	0.1735610928
161	0.1735092918
162	0.1734566559
163	0.1734044814
164	0.1733252039
165	0.173236791
166	0.1731869517
167	0.1731316648
168	0.1730678492
169	0.1730145139
170	0.1729385564
171	0.1728941737
172	0.1728491371
173	0.1727784442
174	0.1727213435
175	0.1726811354
176	0.1725949125
177	0.1725480616
178	0.1724542482
179	0.1724127148
180	0.172356822
181	0.1723013631
182	0.1722575957
183	0.1722093
184	0.1721637658
185	0.1721003581
186	0.172055223
187	0.1719992266
188	0.1719450492
189	0.1719021037
190	0.1718706773
191	0.1718341111
192	0.1717836003
193	0.1716905144
194	0.1716294881
195	0.171593721
196	0.1715221167
197	0.1714704072
198	0.1714223791
199	0.1713712948
200	0.1713420008
201	0.1712891553
202	0.1712382793
203	0.1711969922
204	0.1711474993
205	0.1710991529
206	0.1710405318
207	0.1709824972
208	0.1709181747
209	0.1708460685
210	0.1708041147
211	0.1707507143
212	0.1707071985
213	0.1706642326
214	0.1706250049
215	0.1705723966
216	0.1705316376
217	0.1704936762
218	0.1704564655
219	0.1704132649
220	0.1703578738
221	0.1703274307
222	0.1702816147
223	0.1702200617
224	0.1701743356
225	0.1701348571
226	0.1700925337
227	0.170058241
228	0.1700095247
229	0.1699653197
230	0.1699095947
231	0.1698617681
232	0.1698204874
233	0.1697700598
234	0.1697333031
235	0.1696904796
236	0.169658276
237	0.1696260036
238	0.1695866447
239	0.1695348423
240	0.169494455
241	0.1694309961
242	0.1693786048
243	0.1693249065
244	0.1692857334
245	0.1692268848
246	0.1691845845
247	0.1691527495
248	0.1691070259
249	0.1690414214
250	0.1690077588
251	0.1689696301
252	0.1689235344
253	0.1688699722
254	0.1688280319
255	0.1687883676
256	0.168764326
257	0.1687179244
258	0.1686683878
259	0.1686238678
260	0.1686010831
261	0.1685665037
262	0.1684918355
263	0.1684548603
264	0.1684267428
265	0.1683765524
266	0.1683471371
267	0.1683139744
268	0.1682703232
269	0.1682227522
270	0.1681934834
271	0.1681431562
272	0.1681067491
273	0.168074105
274	0.1680500403
275	0.1680161191
276	0.167972231
277	0.1679428406
278	0.167909323
279	0.1678436238
280	0.1677949116
281	0.1677588339
282	0.1677133057
283	0.1676913368
284	0.16766543
285	0.1676286783
286	0.1675727851
287	0.1675429564
288	0.1675184425
289	0.1674908085
290	0.1674589773
291	0.1674322676
292	0.1674084837
293	0.1673773447
294	0.1673484933
295	0.1673238844
296	0.1672819015
297	0.1672481108
298	0.1672148927
299	0.1671844929
300	0.1671502741
301	0.167129875
302	0.167106939
303	0.1670787976
304	0.1670522182
305	0.1670298004
306	0.166991564
307	0.166957783
308	0.1669279443
309	0.166895985
310	0.1668498902
311	0.1668264683
312	0.1667791265
313	0.1667609646
314	0.1667211693
315	0.1666900148
316	0.1666445569
317	0.1666106426
318	0.1665403465
319	0.1665032292
320	0.1664718062
321	0.1664405836
322	0.1663885031
323	0.1663628845
324	0.1663234877
325	0.166296931
326	0.1662760707
327	0.1662510207
328	0.1662264823
329	0.1661903924
330	0.1661656299
331	0.1661391358
332	0.166113558
333	0.1660813515
334	0.1660531352
335	0.1660218575
336	0.1659815138
337	0.1659600963
338	0.1659208295
339	0.1658722009
340	0.1658554175
341	0.1658223318
342	0.1657896298
343	0.165760302
344	0.1657300268
345	0.1657022256
346	0.1656771701
347	0.1656422411
348	0.1656171655
349	0.1655810117
350	0.1655108783
351	0.1654847864
352	0.1654621596
353	0.1654193524
354	0.1653892768
355	0.1653569932
356	0.1653305436
357	0.1653010296
358	0.1652688673
359	0.1652404677
360	0.1652001367
361	0.1651827363
362	0.1651663388
363	0.1651368203
364	0.165111719
365	0.165081792
366	0.1650602484
367	0.1650394763
368	0.1650054894
369	0.164981934
370	0.1649485946
371	0.1649152726
372	0.164887667
373	0.1648697123
374	0.164846812
375	0.1648044559
376	0.164764772
377	0.1647434897
378	0.1647100815
379	0.1646837167
380	0.1646519769
381	0.1646146957
382	0.1645839486
383	0.1645562819
384	0.1645350721
385	0.1645170844
386	0.1644884189
387	0.1644378596
388	0.1644003943
389	0.1643822378
390	0.1643577203
391	0.1643373046
392	0.1643122038
393	0.1642820649
394	0.1642667127
395	0.1642280227
396	0.1641920458
397	0.1641707901
398	0.1641523818
399	0.164134068
400	0.1641075884
401	0.1640758556
402	0.1640517064
403	0.1640259926
404	0.164006525
405	0.1639743665
406	0.1639476196
407	0.163915448
408	0.16389336
409	0.1638709416
410	0.1638539688
411	0.1638301931
412	0.1638093223
413	0.1637873804
414	0.1637685302
415	0.1637468594
416	0.1637211734
417	0.1636936103
418	0.1636728491
419	0.1636544474
420	0.1636408631
421	0.1636112116
422	0.1635962194
423	0.1635712704
