iter	Passed	Remaining
0	108	54280
1	145	36117
2	176	29300
3	212	26304
4	250	24808
5	283	23329
6	323	22816
7	365	22450
8	395	21563
9	437	21460
10	465	20673
11	519	21131
12	551	20645
13	593	20615
14	626	20263
15	660	19990
16	725	20625
17	780	20903
18	825	20904
19	875	21019
20	909	20750
21	941	20448
22	991	20568
23	1060	21028
24	1124	21362
25	1153	21028
26	1185	20767
27	1224	20638
28	1251	20324
29	1280	20066
30	1325	20059
31	1380	20192
32	1430	20243
33	1479	20279
34	1509	20049
35	1538	19833
36	1577	19735
37	1609	19563
38	1637	19360
39	1664	19144
40	1690	18929
41	1721	18774
42	1794	19074
43	1848	19152
44	1887	19081
45	1922	18976
46	1966	18954
47	1996	18798
48	2028	18670
49	2055	18496
50	2082	18331
51	2109	18172
52	2140	18054
53	2182	18024
54	2210	17887
55	2238	17746
56	2265	17607
57	2293	17480
58	2321	17351
59	2348	17221
60	2375	17097
61	2403	16979
62	2442	16943
63	2481	16907
64	2514	16827
65	2547	16754
66	2587	16719
67	2616	16619
68	2644	16516
69	2671	16408
70	2697	16301
71	2735	16259
72	2771	16208
73	2801	16129
74	2830	16039
75	2858	15945
76	2884	15848
77	2913	15762
78	2941	15673
79	2968	15582
80	2994	15489
81	3026	15428
82	3053	15341
83	3080	15253
84	3106	15167
85	3137	15102
86	3166	15033
87	3193	14953
88	3222	14879
89	3250	14808
90	3278	14736
91	3306	14664
92	3334	14592
93	3363	14528
94	3391	14459
95	3419	14390
96	3448	14325
97	3476	14262
98	3505	14197
99	3536	14147
100	3564	14080
101	3593	14019
102	3620	13956
103	3649	13896
104	3679	13841
105	3707	13780
106	3733	13712
107	3762	13656
108	3803	13642
109	3834	13594
110	3867	13553
111	3913	13557
112	3958	13555
113	4015	13596
114	4044	13539
115	4072	13480
116	4101	13425
117	4130	13371
118	4157	13309
119	4184	13252
120	4210	13187
121	4237	13129
122	4263	13068
123	4291	13012
124	4318	12956
125	4353	12921
126	4390	12895
127	4439	12902
128	4472	12863
129	4502	12813
130	4532	12767
131	4562	12718
132	4592	12672
133	4633	12655
134	4672	12633
135	4712	12613
136	4742	12564
137	4770	12512
138	4801	12469
139	4845	12460
140	4882	12431
141	4914	12390
142	5009	12506
143	5050	12485
144	5080	12437
145	5109	12388
146	5137	12338
147	5167	12290
148	5195	12238
149	5222	12185
150	5250	12134
151	5279	12086
152	5307	12036
153	5334	11986
154	5366	11944
155	5413	11937
156	5457	11922
157	5495	11895
158	5533	11866
159	5572	11841
160	5620	11835
161	5651	11791
162	5683	11750
163	5715	11708
164	5743	11661
165	5772	11614
166	5803	11572
167	5830	11523
168	5871	11499
169	5914	11480
170	5957	11462
171	6017	11475
172	6051	11438
173	6080	11391
174	6110	11348
175	6139	11301
176	6174	11267
177	6207	11230
178	6259	11225
179	6295	11191
180	6331	11158
181	6360	11113
182	6389	11068
183	6420	11026
184	6449	10980
185	6482	10942
186	6512	10900
187	6541	10855
188	6570	10812
189	6600	10769
190	6633	10731
191	6665	10693
192	6699	10656
193	6729	10614
194	6760	10574
195	6790	10531
196	6818	10488
197	6849	10446
198	6879	10404
199	6906	10359
200	6940	10324
201	6973	10287
202	7020	10271
203	7053	10233
204	7087	10198
205	7119	10160
206	7150	10120
207	7308	10260
208	7356	10242
209	7385	10198
210	7414	10155
211	7450	10121
212	7479	10078
213	7512	10039
214	7546	10004
215	7578	9964
216	7620	9937
217	7657	9905
218	7711	9894
219	7739	9850
